SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,TotalServices,AvgMonthlySpend,ChargePerService,IsLongTerm,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2 Years,tenure_group_2-4 Years,tenure_group_4-6 Years
0,0.013888888888888888,0.11542288557213931,0.001275098084468036,0,0.125,0.004135778384705424,0.2554872695346796,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.4722222222222222,0.3850746268656716,0.21586660512347106,0,0.375,0.032271591069874345,0.23134328358208955,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,0.027777777777777776,0.35422885572139307,0.010310408492960998,1,0.375,0.01935232149824425,0.20412642669007902,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0.625,0.23930348258706463,0.21024117239787676,0,0.375,0.02220928912475843,0.10272168568920104,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
0,0.027777777777777776,0.5218905472636816,0.015330025386568198,1,0.125,0.029796812629430663,0.9727831431079895,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.1111111111111111,0.8099502487562189,0.09251096238172168,1,0.625,0.05905339295897237,0.3146034533216272,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
0,0.3055555555555555,0.7049751243781094,0.22277867528271408,0,0.5,0.05443610317653984,0.35715539947322217,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
0,0.1388888888888889,0.11442786069651739,0.032667897530579276,0,0.125,0.013154383657700084,0.25373134328358216,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.38888888888888884,0.8611940298507462,0.3493249480729287,1,0.75,0.06904375778136325,0.2571177724821272,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
0,0.861111111111111,0.3771144278606965,0.4003173321024694,0,0.375,0.033264589487765464,0.22431957857769974,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0.18055555555555555,0.3154228855721393,0.06561850911608587,0,0.25,0.02360986652832147,0.31606672519754175,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
0,0.2222222222222222,0.006965174129353213,0.035541195476575124,0,0.125,0.007232050958382694,0.06409130816505709,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0.8055555555555555,0.8169154228855721,0.6533925686591276,0,0.625,0.06274365773892945,0.31870061457418786,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
0,0.6805555555555555,0.8502487562189055,0.578986845141934,1,0.75,0.06593907380173476,0.2515991471215352,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1
0,0.3472222222222222,0.8681592039800995,0.30778329102238633,0,0.75,0.06780007711008043,0.2606296249843221,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0
0,0.9583333333333333,0.945273631840796,0.9088795291945534,0,1.0,0.07462734690202502,0.17325139010828217,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1
0,0.7222222222222222,0.023880597014925342,0.11587237479806141,0,0.125,0.007287813004875116,0.09394205443371378,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0.986111111111111,0.8800995024875623,0.8496942072467113,0,0.75,0.06723941294756747,0.26664994355951344,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1
0,0.1388888888888889,0.36766169154228856,0.05879875375028849,1,0.375,0.027982941755864115,0.21597892888498688,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0.29166666666666663,0.7144278606965173,0.2127971382414032,0,0.5,0.054379019341953425,0.36382791922739244,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0
